CbTagName;date;ed
CB First Floor;01/02/2018;70
CB First Floor;02/02/2018;73
CB First Floor;03/02/2018;59
CB First Floor;04/02/2018;59
CB First Floor;05/02/2018;84
CB First Floor;06/02/2018;81
CB First Floor;07/02/2018;78
CB First Floor;08/02/2018;75
CB First Floor;09/02/2018;71
CB First Floor;10/02/2018;57
CB First Floor;11/02/2018;56
CB First Floor;12/02/2018;70
CB First Floor;13/02/2018;83
CB First Floor;14/02/2018;86
CB First Floor;15/02/2018;85
CB First Floor;16/02/2018;82
CB First Floor;17/02/2018;61
CB First Floor;18/02/2018;57
CB First Floor;19/02/2018;88
CB First Floor;20/02/2018;80
CB First Floor;21/02/2018;82
CB First Floor;22/02/2018;84
CB First Floor;23/02/2018;88
CB First Floor;24/02/2018;58
CB First Floor;25/02/2018;75
CB First Floor;26/02/2018;90
CB First Floor;27/02/2018;93
CB First Floor;28/02/2018;79
CB First Floor;01/03/2018;101
CB First Floor;02/03/2018;92
CB First Floor;03/03/2018;76
CB First Floor;04/03/2018;70
CB First Floor;05/03/2018;74
CB First Floor;06/03/2018;74
CB First Floor;07/03/2018;75
CB First Floor;08/03/2018;77
CB First Floor;09/03/2018;68
CB First Floor;10/03/2018;49
CB First Floor;11/03/2018;45
CB First Floor;12/03/2018;65
CB First Floor;13/03/2018;64
CB First Floor;14/03/2018;69
CB First Floor;15/03/2018;69
CB First Floor;16/03/2018;63
CB First Floor;17/03/2018;48
CB First Floor;18/03/2018;48
CB First Floor;19/03/2018;71
CB First Floor;20/03/2018;73
CB First Floor;21/03/2018;82
CB First Floor;22/03/2018;76
CB First Floor;23/03/2018;72
CB First Floor;24/03/2018;57
CB First Floor;25/03/2018;54
CB First Floor;26/03/2018;70
CB First Floor;27/03/2018;66
CB First Floor;28/03/2018;66
CB First Floor;29/03/2018;64
CB First Floor;30/03/2018;57
CB First Floor;31/03/2018;45
CB First Floor;01/04/2018;51
CB First Floor;02/04/2018;52
CB First Floor;03/04/2018;65
CB First Floor;04/04/2018;62
CB First Floor;05/04/2018;59
CB First Floor;06/04/2018;60
CB First Floor;07/04/2018;44
CB First Floor;08/04/2018;44
CB First Floor;09/04/2018;60
CB First Floor;10/04/2018;62
CB First Floor;11/04/2018;65
CB First Floor;12/04/2018;63
CB First Floor;13/04/2018;64
CB First Floor;14/04/2018;51
CB First Floor;15/04/2018;45
CB First Floor;16/04/2018;59
CB First Floor;17/04/2018;56
CB First Floor;18/04/2018;56
CB First Floor;19/04/2018;61
CB First Floor;20/04/2018;61
CB First Floor;21/04/2018;47
CB First Floor;22/04/2018;45
CB First Floor;23/04/2018;56
CB First Floor;24/04/2018;53
CB First Floor;25/04/2018;39
CB First Floor;26/04/2018;52
CB First Floor;27/04/2018;51
CB First Floor;28/04/2018;37
CB First Floor;29/04/2018;37
CB First Floor;30/04/2018;38
CB First Floor;01/05/2018;38
CB First Floor;02/05/2018;54
CB First Floor;03/05/2018;51
CB First Floor;04/05/2018;50
CB First Floor;05/05/2018;37
CB First Floor;06/05/2018;37
CB First Floor;07/05/2018;52
CB First Floor;08/05/2018;50
CB First Floor;09/05/2018;53
CB First Floor;10/05/2018;52
CB First Floor;11/05/2018;52
CB First Floor;12/05/2018;38
CB First Floor;13/05/2018;36
CB First Floor;14/05/2018;54
CB First Floor;15/05/2018;55
CB First Floor;16/05/2018;52
CB First Floor;17/05/2018;54
CB First Floor;18/05/2018;50
CB First Floor;19/05/2018;36
CB First Floor;20/05/2018;35
CB First Floor;22/05/2018;59
CB First Floor;23/05/2018;50
CB First Floor;24/05/2018;50
CB First Floor;25/05/2018;51
CB First Floor;26/05/2018;37
CB First Floor;27/05/2018;36
CB First Floor;28/05/2018;51
CB First Floor;29/05/2018;51
CB First Floor;30/05/2018;51
CB First Floor;31/05/2018;51
CB First Floor;01/06/2018;49
CB First Floor;02/06/2018;35
CB First Floor;03/06/2018;36
CB First Floor;04/06/2018;53
CB First Floor;05/06/2018;51
CB First Floor;06/06/2018;52
CB First Floor;07/06/2018;52
CB First Floor;08/06/2018;52
CB First Floor;09/06/2018;37
CB First Floor;10/06/2018;36
CB First Floor;11/06/2018;51
CB First Floor;12/06/2018;53
CB First Floor;13/06/2018;52
CB First Floor;14/06/2018;53
CB First Floor;15/06/2018;52
CB First Floor;16/06/2018;40
CB First Floor;17/06/2018;36
CB First Floor;18/06/2018;52
CB First Floor;19/06/2018;53
CB First Floor;20/06/2018;53
CB First Floor;21/06/2018;54
CB First Floor;22/06/2018;52
CB First Floor;23/06/2018;36
CB First Floor;24/06/2018;37
CB First Floor;25/06/2018;51
CB First Floor;26/06/2018;52
CB First Floor;27/06/2018;51
CB First Floor;28/06/2018;51
CB First Floor;29/06/2018;51
CB First Floor;30/06/2018;37
CB First Floor;01/07/2018;35
CB First Floor;02/07/2018;53
CB First Floor;03/07/2018;54
CB First Floor;04/07/2018;54
CB First Floor;05/07/2018;54
CB First Floor;06/07/2018;52
CB First Floor;07/07/2018;40
CB First Floor;08/07/2018;39
CB First Floor;09/07/2018;54
CB First Floor;10/07/2018;54
CB First Floor;11/07/2018;54
CB First Floor;12/07/2018;54
CB First Floor;13/07/2018;52
CB First Floor;14/07/2018;39
CB First Floor;15/07/2018;38
CB First Floor;16/07/2018;55
CB First Floor;17/07/2018;52
CB First Floor;18/07/2018;53
CB First Floor;19/07/2018;52
CB First Floor;20/07/2018;52
CB First Floor;21/07/2018;40
CB First Floor;22/07/2018;39
CB First Floor;23/07/2018;53
CB First Floor;24/07/2018;48
CB First Floor;25/07/2018;54
CB First Floor;26/07/2018;52
CB First Floor;27/07/2018;52
CB First Floor;28/07/2018;40
CB First Floor;29/07/2018;39
CB First Floor;30/07/2018;53
CB First Floor;31/07/2018;52
CB First Floor;01/08/2018;56
CB First Floor;02/08/2018;59
CB First Floor;03/08/2018;51
CB First Floor;04/08/2018;40
CB First Floor;06/08/2018;54
CB First Floor;07/08/2018;51
CB First Floor;08/08/2018;52
CB First Floor;09/08/2018;50
CB First Floor;10/08/2018;48
CB First Floor;11/08/2018;39
CB First Floor;12/08/2018;38
CB First Floor;13/08/2018;41
CB First Floor;14/08/2018;41
CB First Floor;20/08/2018;52
CB First Floor;21/08/2018;49
CB First Floor;22/08/2018;47
CB First Floor;23/08/2018;47
CB First Floor;24/08/2018;48
CB First Floor;25/08/2018;36
CB First Floor;26/08/2018;38
CB First Floor;27/08/2018;52
CB First Floor;28/08/2018;52
CB First Floor;29/08/2018;52
CB First Floor;30/08/2018;52
CB First Floor;31/08/2018;56
CB First Floor;01/09/2018;39
CB First Floor;02/09/2018;38
CB First Floor;03/09/2018;53
CB First Floor;04/09/2018;51
CB First Floor;05/09/2018;52
CB First Floor;06/09/2018;53
CB First Floor;07/09/2018;52
CB First Floor;08/09/2018;38
CB First Floor;09/09/2018;38
CB First Floor;10/09/2018;54
CB First Floor;11/09/2018;54
CB First Floor;12/09/2018;54
CB First Floor;13/09/2018;55
CB First Floor;14/09/2018;51
CB First Floor;15/09/2018;39
CB First Floor;16/09/2018;38
CB First Floor;17/09/2018;54
CB First Floor;18/09/2018;55
CB First Floor;19/09/2018;54
CB First Floor;20/09/2018;55
CB First Floor;21/09/2018;54
CB First Floor;22/09/2018;39
CB First Floor;23/09/2018;37
CB First Floor;24/09/2018;55
CB First Floor;25/09/2018;56
CB First Floor;26/09/2018;56
CB First Floor;27/09/2018;56
CB First Floor;28/09/2018;54
CB First Floor;29/09/2018;39
CB First Floor;30/09/2018;37
CB First Floor;01/10/2018;56
CB First Floor;02/10/2018;53
CB First Floor;03/10/2018;52
CB First Floor;04/10/2018;53
CB First Floor;05/10/2018;53
CB First Floor;06/10/2018;37
CB First Floor;07/10/2018;37
CB First Floor;08/10/2018;52
CB First Floor;09/10/2018;52
CB First Floor;10/10/2018;53
CB First Floor;11/10/2018;55
CB First Floor;12/10/2018;51
CB First Floor;13/10/2018;40
CB First Floor;14/10/2018;38
CB First Floor;15/10/2018;54
CB First Floor;16/10/2018;53
CB First Floor;17/10/2018;54
CB First Floor;18/10/2018;53
CB First Floor;19/10/2018;53
CB First Floor;20/10/2018;39
CB First Floor;21/10/2018;38
CB First Floor;22/10/2018;67
CB First Floor;23/10/2018;64
CB First Floor;24/10/2018;70
CB First Floor;25/10/2018;59
CB First Floor;26/10/2018;55
CB First Floor;27/10/2018;38
CB First Floor;28/10/2018;35
