"","date","windSpeed.X","windSpeed.date","windSpeed.windSpeed"
"421",2018-05-31,421,"2018-05-31",2.63
"422",2018-06-01,422,"2018-06-01",6.51
"423",2018-06-02,423,"2018-06-02",2.75
"424",2018-06-03,424,"2018-06-03",0.96
"425",2018-06-04,425,"2018-06-04",1.08
"426",2018-06-05,426,"2018-06-05",3.12
"427",2018-06-06,427,"2018-06-06",5.33
"428",2018-06-07,428,"2018-06-07",3.33
"429",2018-06-08,429,"2018-06-08",2.17
"430",2018-06-09,430,"2018-06-09",4.4
"431",2018-06-10,431,"2018-06-10",5.02
"432",2018-06-11,432,"2018-06-11",1.89
"433",2018-06-12,433,"2018-06-12",3.24
"434",2018-06-13,434,"2018-06-13",2.12
"435",2018-06-14,435,"2018-06-14",1.63
"436",2018-06-15,436,"2018-06-15",1.52
"437",2018-06-16,437,"2018-06-16",1.71
"438",2018-06-17,438,"2018-06-17",2.36
"439",2018-06-18,439,"2018-06-18",1.07
"440",2018-06-19,440,"2018-06-19",2.12
"441",2018-06-20,441,"2018-06-20",2.04
"442",2018-06-21,442,"2018-06-21",1.9
"443",2018-06-22,443,"2018-06-22",5.87
"444",2018-06-23,444,"2018-06-23",3.88
"445",2018-06-24,445,"2018-06-24",2.64
"446",2018-06-25,446,"2018-06-25",4.75
"447",2018-06-26,447,"2018-06-26",2.38
"448",2018-06-27,448,"2018-06-27",4.19
"449",2018-06-28,449,"2018-06-28",0.79
"450",2018-06-29,450,"2018-06-29",3.82
"451",2018-06-30,451,"2018-06-30",4.31
"452",2018-07-01,452,"2018-07-01",3.7
"453",2018-07-02,453,"2018-07-02",4.86
"454",2018-07-03,454,"2018-07-03",2.95
"455",2018-07-04,455,"2018-07-04",0.98
"456",2018-07-05,456,"2018-07-05",2.22
"457",2018-07-06,457,"2018-07-06",2.87
"458",2018-07-07,458,"2018-07-07",1.12
"459",2018-07-08,459,"2018-07-08",1.9
"460",2018-07-09,460,"2018-07-09",2.84
"461",2018-07-10,461,"2018-07-10",2.42
"462",2018-07-11,462,"2018-07-11",5.18
"463",2018-07-12,463,"2018-07-12",2.79
"464",2018-07-13,464,"2018-07-13",1.37
"465",2018-07-14,465,"2018-07-14",1.15
"466",2018-07-15,466,"2018-07-15",0.37
"467",2018-07-16,467,"2018-07-16",1.97
"468",2018-07-17,468,"2018-07-17",0.63
"469",2018-07-18,469,"2018-07-18",1.11
"470",2018-07-19,470,"2018-07-19",0.74
"471",2018-07-20,471,"2018-07-20",0.91
"472",2018-07-21,472,"2018-07-21",3.37
"473",2018-07-22,473,"2018-07-22",0.96
"474",2018-07-23,474,"2018-07-23",1.48
"475",2018-07-24,475,"2018-07-24",1.18
"476",2018-07-25,476,"2018-07-25",0.25
"477",2018-07-26,477,"2018-07-26",4.25
"478",2018-07-27,478,"2018-07-27",1.41
"479",2018-07-28,479,"2018-07-28",3.2
"480",2018-07-29,480,"2018-07-29",1.36
"481",2018-07-30,481,"2018-07-30",0.55
"482",2018-07-31,482,"2018-07-31",0.84
"483",2018-08-01,483,"2018-08-01",2.44
"484",2018-08-02,484,"2018-08-02",2.16
"485",2018-08-03,485,"2018-08-03",1.38
"486",2018-08-04,486,"2018-08-04",1.07
"487",2018-08-06,487,"2018-08-06",1.04
"488",2018-08-07,488,"2018-08-07",1.78
"489",2018-08-08,489,"2018-08-08",0.86
"490",2018-08-09,490,"2018-08-09",1.5
"491",2018-08-10,491,"2018-08-10",1.65
"492",2018-08-11,492,"2018-08-11",1.22
"493",2018-08-12,493,"2018-08-12",4.25
"494",2018-08-13,494,"2018-08-13",2.55
"495",2018-08-14,495,"2018-08-14",3.36
"496",2018-08-20,496,"2018-08-20",2.58
"497",2018-08-21,497,"2018-08-21",2.03
"498",2018-08-22,498,"2018-08-22",1.23
"499",2018-08-23,499,"2018-08-23",3.98
"500",2018-08-24,500,"2018-08-24",2.11
"501",2018-08-25,501,"2018-08-25",4.48
"502",2018-08-26,502,"2018-08-26",3.13
"503",2018-08-27,503,"2018-08-27",1.17
"504",2018-08-28,504,"2018-08-28",2.02
"505",2018-08-29,505,"2018-08-29",1.79
"506",2018-08-30,506,"2018-08-30",1.44
"507",2018-08-31,507,"2018-08-31",5.95
"508",2018-09-01,508,"2018-09-01",2.79
"509",2018-09-02,509,"2018-09-02",1.96
"510",2018-09-03,510,"2018-09-03",3.22
"511",2018-09-04,511,"2018-09-04",2.14
"512",2018-09-05,512,"2018-09-05",0.76
"513",2018-09-06,513,"2018-09-06",0.89
"514",2018-09-07,514,"2018-09-07",1.26
"515",2018-09-08,515,"2018-09-08",2.03
"516",2018-09-09,516,"2018-09-09",1.84
"517",2018-09-10,517,"2018-09-10",2.06
"518",2018-09-11,518,"2018-09-11",1.07
"519",2018-09-12,519,"2018-09-12",1.11
"520",2018-09-13,520,"2018-09-13",2.85
"521",2018-09-14,521,"2018-09-14",1.01
"522",2018-09-15,522,"2018-09-15",3.25
"523",2018-09-16,523,"2018-09-16",2.61
"524",2018-09-17,524,"2018-09-17",0.52
"525",2018-09-18,525,"2018-09-18",2.57
"526",2018-09-19,526,"2018-09-19",1.2
"527",2018-09-20,527,"2018-09-20",1.89
"528",2018-09-21,528,"2018-09-21",1.78
"529",2018-09-22,529,"2018-09-22",2.58
"530",2018-09-23,530,"2018-09-23",2.43
"531",2018-09-24,531,"2018-09-24",1.09
"532",2018-09-25,532,"2018-09-25",5.84
"533",2018-09-26,533,"2018-09-26",2.8
"534",2018-09-27,534,"2018-09-27",0.93
"535",2018-09-28,535,"2018-09-28",1.54
"536",2018-09-29,536,"2018-09-29",3
"537",2018-09-30,537,"2018-09-30",2
"538",2018-10-01,538,"2018-10-01",2.43
"539",2018-10-02,539,"2018-10-02",0.81
"540",2018-10-03,540,"2018-10-03",1.82
"541",2018-10-04,541,"2018-10-04",2.18
"542",2018-10-05,542,"2018-10-05",1.8
"543",2018-10-06,543,"2018-10-06",1.89
"544",2018-10-07,544,"2018-10-07",2.27
"545",2018-10-08,545,"2018-10-08",0.8
"546",2018-10-09,546,"2018-10-09",1.62
"547",2018-10-10,547,"2018-10-10",2.91
"548",2018-10-11,548,"2018-10-11",1.88
"549",2018-10-12,549,"2018-10-12",1.46
"550",2018-10-13,550,"2018-10-13",2.36
"551",2018-10-14,551,"2018-10-14",2.25
"552",2018-10-15,552,"2018-10-15",1.93
"553",2018-10-16,553,"2018-10-16",1.99
"554",2018-10-17,554,"2018-10-17",0.96
"555",2018-10-18,555,"2018-10-18",1.57
"556",2018-10-19,556,"2018-10-19",1.37
"557",2018-10-20,557,"2018-10-20",1.46
"558",2018-10-21,558,"2018-10-21",4.34
"559",2018-10-22,559,"2018-10-22",2.35
"560",2018-10-23,560,"2018-10-23",2.22
"561",2018-10-24,561,"2018-10-24",7.21
"562",2018-10-25,562,"2018-10-25",3.13
"563",2018-10-26,563,"2018-10-26",2.98
"564",2018-10-27,564,"2018-10-27",5.46
"565",2018-10-28,565,"2018-10-28",7.75
"566",2018-10-29,566,"2018-10-29",7.75
"567",2018-10-30,567,"2018-10-30",9.28
"568",2018-10-31,568,"2018-10-31",9.64
"569",2018-11-01,569,"2018-11-01",4.35
"570",2018-11-02,570,"2018-11-02",2.34
"571",2018-11-03,571,"2018-11-03",1.55
"572",2018-11-04,572,"2018-11-04",2.71
"573",2018-11-05,573,"2018-11-05",1.86
"574",2018-11-06,574,"2018-11-06",1.93
"575",2018-11-07,575,"2018-11-07",4.65
"576",2018-11-08,576,"2018-11-08",1.1
"577",2018-11-09,577,"2018-11-09",1.83
"578",2018-11-10,578,"2018-11-10",1.73
