CbTagName;date;ed
CB Second Floor;18/12/2018;92
CB Second Floor;19/12/2018;90
CB Second Floor;20/12/2018;89
CB Second Floor;21/12/2018;66
CB Second Floor;22/12/2018;55
CB Second Floor;23/12/2018;59
CB Second Floor;24/12/2018;58
CB Second Floor;25/12/2018;64
CB Second Floor;26/12/2018;63
CB Second Floor;27/12/2018;66
CB Second Floor;28/12/2018;65
CB Second Floor;29/12/2018;62
CB Second Floor;30/12/2018;62
CB Second Floor;31/12/2018;63
CB Second Floor;01/01/2019;61
CB Second Floor;02/01/2019;74
CB Second Floor;03/01/2019;79
CB Second Floor;04/01/2019;78
CB Second Floor;05/01/2019;64
CB Second Floor;06/01/2019;62
CB Second Floor;07/01/2019;82
CB Second Floor;08/01/2019;81
CB Second Floor;09/01/2019;82
CB Second Floor;10/01/2019;84
CB Second Floor;11/01/2019;83
CB Second Floor;12/01/2019;51
CB Second Floor;13/01/2019;62
CB Second Floor;14/01/2019;88
CB Second Floor;15/01/2019;92
CB Second Floor;16/01/2019;87
CB Second Floor;17/01/2019;81
CB Second Floor;18/01/2019;80
CB Second Floor;19/01/2019;61
CB Second Floor;20/01/2019;64
CB Second Floor;21/01/2019;86
CB Second Floor;22/01/2019;88
CB Second Floor;23/01/2019;85
CB Second Floor;24/01/2019;84
CB Second Floor;25/01/2019;82
CB Second Floor;26/01/2019;61
CB Second Floor;27/01/2019;72
CB Second Floor;28/01/2019;83
CB Second Floor;29/01/2019;86
CB Second Floor;30/01/2019;87
CB Second Floor;31/01/2019;85
CB Second Floor;01/02/2019;97
CB Second Floor;02/02/2019;65
CB Second Floor;03/02/2019;55
CB Second Floor;04/02/2019;84
CB Second Floor;05/02/2019;90
CB Second Floor;06/02/2019;90
CB Second Floor;07/02/2019;90
CB Second Floor;08/02/2019;88
CB Second Floor;09/02/2019;70
CB Second Floor;10/02/2019;57
CB Second Floor;11/02/2019;91
CB Second Floor;12/02/2019;94
CB Second Floor;13/02/2019;90
CB Second Floor;14/02/2019;86
CB Second Floor;15/02/2019;81
CB Second Floor;16/02/2019;62
CB Second Floor;17/02/2019;62
CB Second Floor;18/02/2019;80
CB Second Floor;19/02/2019;83
CB Second Floor;20/02/2019;78
CB Second Floor;21/02/2019;81
CB Second Floor;22/02/2019;80
CB Second Floor;23/02/2019;66
CB Second Floor;24/02/2019;69
CB Second Floor;25/02/2019;83
CB Second Floor;26/02/2019;82
CB Second Floor;27/02/2019;81
CB Second Floor;28/02/2019;79
CB Second Floor;01/03/2019;72
CB Second Floor;02/03/2019;61
CB Second Floor;03/03/2019;61
CB Second Floor;04/03/2019;73
CB Second Floor;05/03/2019;80
CB Second Floor;06/03/2019;76
CB Second Floor;07/03/2019;69
CB Second Floor;08/03/2019;64
CB Second Floor;09/03/2019;52
CB Second Floor;10/03/2019;49
CB Second Floor;11/03/2019;74
CB Second Floor;12/03/2019;79
CB Second Floor;13/03/2019;78
CB Second Floor;14/03/2019;77
CB Second Floor;15/03/2019;72
CB Second Floor;16/03/2019;54
CB Second Floor;17/03/2019;48
CB Second Floor;18/03/2019;72
CB Second Floor;19/03/2019;74
CB Second Floor;20/03/2019;75
CB Second Floor;21/03/2019;78
CB Second Floor;22/03/2019;76
CB Second Floor;23/03/2019;57
CB Second Floor;24/03/2019;55
CB Second Floor;25/03/2019;70
CB Second Floor;26/03/2019;71
CB Second Floor;27/03/2019;70
CB Second Floor;28/03/2019;69
CB Second Floor;29/03/2019;68
CB Second Floor;30/03/2019;55
CB Second Floor;31/03/2019;55
