CbTagName;date;ed 
CB Third Floor;21/02/2019-14;52
CB Third Floor;21/02/2019-15;60
CB Third Floor;21/02/2019-16;72
CB Third Floor;21/02/2019-17;75
CB Third Floor;21/02/2019-18;77
CB Third Floor;21/02/2019-19;83
CB Third Floor;21/02/2019-20;90
CB Third Floor;21/02/2019-21;93
CB Third Floor;21/02/2019-22;95
CB Third Floor;21/02/2019-23;108
CB Third Floor;22/02/2019-00;115
CB Third Floor;22/02/2019-01;117
CB Third Floor;22/02/2019-02;130
CB Third Floor;22/02/2019-03;130
CB Third Floor;22/02/2019-04;128
CB Third Floor;22/02/2019-05;135
CB Third Floor;22/02/2019-06;134
CB Third Floor;22/02/2019-07;140
CB Third Floor;22/02/2019-08;110
CB Third Floor;22/02/2019-09;86
CB Third Floor;22/02/2019-10;69
CB Third Floor;22/02/2019-11;68
CB Third Floor;22/02/2019-12;63
CB Third Floor;22/02/2019-13;53
CB Third Floor;22/02/2019-14;44
CB Third Floor;22/02/2019-15;47
CB Third Floor;22/02/2019-16;61
CB Third Floor;22/02/2019-17;61
CB Third Floor;22/02/2019-18;70
CB Third Floor;22/02/2019-19;73
CB Third Floor;22/02/2019-20;74
CB Third Floor;22/02/2019-21;82
CB Third Floor;22/02/2019-22;86
CB Third Floor;22/02/2019-23;87
CB Third Floor;23/02/2019-00;96
CB Third Floor;23/02/2019-01;100
CB Third Floor;23/02/2019-02;104
CB Third Floor;23/02/2019-03;110
CB Third Floor;23/02/2019-04;102
CB Third Floor;23/02/2019-05;100
CB Third Floor;23/02/2019-06;105
CB Third Floor;23/02/2019-07;111
CB Third Floor;23/02/2019-08;132
CB Third Floor;23/02/2019-09;120
CB Third Floor;23/02/2019-10;119
CB Third Floor;23/02/2019-11;112
CB Third Floor;23/02/2019-12;98
CB Third Floor;23/02/2019-13;93
CB Third Floor;23/02/2019-14;83
CB Third Floor;23/02/2019-15;70
CB Third Floor;23/02/2019-16;89
CB Third Floor;23/02/2019-17;99
CB Third Floor;23/02/2019-18;101
CB Third Floor;23/02/2019-19;111
CB Third Floor;23/02/2019-20;135
CB Third Floor;23/02/2019-21;140
CB Third Floor;23/02/2019-22;148
CB Third Floor;23/02/2019-23;159
CB Third Floor;24/02/2019-00;154
CB Third Floor;24/02/2019-01;166
CB Third Floor;24/02/2019-02;161
CB Third Floor;24/02/2019-03;157
CB Third Floor;24/02/2019-04;178
CB Third Floor;24/02/2019-05;168
CB Third Floor;24/02/2019-06;176
CB Third Floor;24/02/2019-07;177
CB Third Floor;24/02/2019-08;165
CB Third Floor;24/02/2019-09;131
CB Third Floor;24/02/2019-10;102
CB Third Floor;24/02/2019-11;87
CB Third Floor;24/02/2019-12;62
CB Third Floor;24/02/2019-13;60
CB Third Floor;24/02/2019-14;52
CB Third Floor;24/02/2019-15;85
CB Third Floor;24/02/2019-16;89
CB Third Floor;24/02/2019-17;94
CB Third Floor;24/02/2019-18;92
CB Third Floor;24/02/2019-19;103
CB Third Floor;24/02/2019-20;124
CB Third Floor;24/02/2019-21;122
CB Third Floor;24/02/2019-22;124
CB Third Floor;24/02/2019-23;135
CB Third Floor;25/02/2019-00;142
CB Third Floor;25/02/2019-01;150
CB Third Floor;25/02/2019-02;160
CB Third Floor;25/02/2019-03;161
CB Third Floor;25/02/2019-04;170
CB Third Floor;25/02/2019-05;162
CB Third Floor;25/02/2019-06;159
CB Third Floor;25/02/2019-07;164
CB Third Floor;25/02/2019-08;134
CB Third Floor;25/02/2019-09;95
CB Third Floor;25/02/2019-10;72
CB Third Floor;25/02/2019-11;76
CB Third Floor;25/02/2019-12;56
CB Third Floor;25/02/2019-13;48
CB Third Floor;25/02/2019-14;43
CB Third Floor;25/02/2019-15;57
CB Third Floor;25/02/2019-16;65
CB Third Floor;25/02/2019-17;70
CB Third Floor;25/02/2019-18;66
CB Third Floor;25/02/2019-19;76
CB Third Floor;25/02/2019-20;77
CB Third Floor;25/02/2019-21;90
CB Third Floor;25/02/2019-22;84
CB Third Floor;25/02/2019-23;91
CB Third Floor;26/02/2019-00;98
CB Third Floor;26/02/2019-01;101
CB Third Floor;26/02/2019-02;116
CB Third Floor;26/02/2019-03;116
CB Third Floor;26/02/2019-04;126
CB Third Floor;26/02/2019-05;121
CB Third Floor;26/02/2019-06;122
CB Third Floor;26/02/2019-07;129
CB Third Floor;26/02/2019-08;118
CB Third Floor;26/02/2019-09;102
CB Third Floor;26/02/2019-10;76
CB Third Floor;26/02/2019-11;54
CB Third Floor;26/02/2019-12;49
CB Third Floor;26/02/2019-13;49
CB Third Floor;26/02/2019-14;62
CB Third Floor;26/02/2019-15;49
CB Third Floor;26/02/2019-16;66
CB Third Floor;26/02/2019-17;64
CB Third Floor;26/02/2019-18;56
CB Third Floor;26/02/2019-19;70
CB Third Floor;26/02/2019-20;84
CB Third Floor;26/02/2019-21;80
CB Third Floor;26/02/2019-22;79
CB Third Floor;26/02/2019-23;78
CB Third Floor;27/02/2019-00;85
CB Third Floor;27/02/2019-01;87
CB Third Floor;27/02/2019-02;88
CB Third Floor;27/02/2019-03;90
CB Third Floor;27/02/2019-04;93
CB Third Floor;27/02/2019-05;95
CB Third Floor;27/02/2019-06;94
CB Third Floor;27/02/2019-07;101
CB Third Floor;27/02/2019-08;104
CB Third Floor;27/02/2019-09;73
CB Third Floor;27/02/2019-10;70
CB Third Floor;27/02/2019-11;68
CB Third Floor;27/02/2019-12;59
CB Third Floor;27/02/2019-13;51
CB Third Floor;27/02/2019-14;44
CB Third Floor;27/02/2019-15;40
CB Third Floor;27/02/2019-16;51
CB Third Floor;27/02/2019-17;52
CB Third Floor;27/02/2019-18;52
CB Third Floor;27/02/2019-19;57
CB Third Floor;27/02/2019-20;61
CB Third Floor;27/02/2019-21;73
CB Third Floor;27/02/2019-22;73
CB Third Floor;27/02/2019-23;79
CB Third Floor;28/02/2019-00;83
CB Third Floor;28/02/2019-01;86
CB Third Floor;28/02/2019-02;89
CB Third Floor;28/02/2019-03;101
CB Third Floor;28/02/2019-04;104
CB Third Floor;28/02/2019-05;99
CB Third Floor;28/02/2019-06;104
CB Third Floor;28/02/2019-07;102
CB Third Floor;28/02/2019-08;108
CB Third Floor;28/02/2019-09;81
CB Third Floor;28/02/2019-10;71
CB Third Floor;28/02/2019-11;62
CB Third Floor;28/02/2019-12;54
CB Third Floor;28/02/2019-13;50
CB Third Floor;28/02/2019-14;45
CB Third Floor;28/02/2019-15;44
CB Third Floor;28/02/2019-16;55
CB Third Floor;28/02/2019-17;57
CB Third Floor;28/02/2019-18;59
CB Third Floor;28/02/2019-19;59
CB Third Floor;28/02/2019-20;68
CB Third Floor;28/02/2019-21;73
CB Third Floor;28/02/2019-22;78
CB Third Floor;28/02/2019-23;80
