CbTagName;date;ed 
CB Third Floor;20/12/2018;172
CB Third Floor;21/12/2018;158
CB Third Floor;22/12/2018;133
CB Third Floor;23/12/2018;163
CB Third Floor;24/12/2018;133
CB Third Floor;25/12/2018;157
CB Third Floor;26/12/2018;164
CB Third Floor;27/12/2018;154
CB Third Floor;28/12/2018;144
CB Third Floor;29/12/2018;141
CB Third Floor;30/12/2018;125
CB Third Floor;31/12/2018;134
CB Third Floor;01/01/2019;143
CB Third Floor;02/01/2019;130
CB Third Floor;03/01/2019;141
CB Third Floor;04/01/2019;160
CB Third Floor;05/01/2019;166
CB Third Floor;06/01/2019;147
CB Third Floor;07/01/2019;156
CB Third Floor;08/01/2019;138
CB Third Floor;09/01/2019;124
CB Third Floor;10/01/2019;119
CB Third Floor;11/01/2019;128
CB Third Floor;12/01/2019;81
CB Third Floor;13/01/2019;115
CB Third Floor;14/01/2019;104
CB Third Floor;15/01/2019;116
CB Third Floor;16/01/2019;113
CB Third Floor;17/01/2019;104
CB Third Floor;18/01/2019;103
CB Third Floor;19/01/2019;139
CB Third Floor;20/01/2019;148
CB Third Floor;21/01/2019;140
CB Third Floor;22/01/2019;143
CB Third Floor;23/01/2019;160
CB Third Floor;24/01/2019;142
CB Third Floor;25/01/2019;144
CB Third Floor;26/01/2019;137
CB Third Floor;27/01/2019;160
CB Third Floor;28/01/2019;131
CB Third Floor;29/01/2019;133
CB Third Floor;30/01/2019;137
CB Third Floor;31/01/2019;134
CB Third Floor;01/02/2019;156
CB Third Floor;02/02/2019;133
CB Third Floor;03/02/2019;119
CB Third Floor;04/02/2019;112
CB Third Floor;05/02/2019;116
CB Third Floor;06/02/2019;119
CB Third Floor;07/02/2019;122
CB Third Floor;08/02/2019;115
CB Third Floor;09/02/2019;111
CB Third Floor;10/02/2019;112
CB Third Floor;11/02/2019;102
CB Third Floor;12/02/2019;105
CB Third Floor;13/02/2019;101
CB Third Floor;14/02/2019;107
CB Third Floor;15/02/2019;100
CB Third Floor;16/02/2019;98
CB Third Floor;17/02/2019;97
CB Third Floor;18/02/2019;95
CB Third Floor;19/02/2019;97
CB Third Floor;20/02/2019;102
CB Third Floor;21/02/2019;102
CB Third Floor;22/02/2019;90
CB Third Floor;23/02/2019;110
CB Third Floor;24/02/2019;124
CB Third Floor;25/02/2019;103
CB Third Floor;26/02/2019;86
CB Third Floor;27/02/2019;73
CB Third Floor;28/02/2019;75
CB Third Floor;01/03/2019;80
CB Third Floor;02/03/2019;86
CB Third Floor;03/03/2019;83
CB Third Floor;04/03/2019;97
CB Third Floor;05/03/2019;96
CB Third Floor;06/03/2019;93
CB Third Floor;07/03/2019;79
CB Third Floor;08/03/2019;69
CB Third Floor;09/03/2019;77
CB Third Floor;10/03/2019;74
CB Third Floor;11/03/2019;74
CB Third Floor;12/03/2019;81
CB Third Floor;13/03/2019;83
CB Third Floor;14/03/2019;84
CB Third Floor;15/03/2019;64
CB Third Floor;16/03/2019;60
CB Third Floor;17/03/2019;79
CB Third Floor;18/03/2019;75
CB Third Floor;19/03/2019;82
CB Third Floor;20/03/2019;86
CB Third Floor;21/03/2019;89
CB Third Floor;22/03/2019;78
CB Third Floor;23/03/2019;63
CB Third Floor;24/03/2019;57
CB Third Floor;25/03/2019;68
CB Third Floor;26/03/2019;67
CB Third Floor;27/03/2019;71
CB Third Floor;28/03/2019;73
CB Third Floor;29/03/2019;67
CB Third Floor;30/03/2019;65
CB Third Floor;31/03/2019;53
