CbTagName;date;ed
CB Second Floor;20/02/201-16;86
CB Second Floor;20/02/201-17;87
CB Second Floor;20/02/201-18;79
CB Second Floor;20/02/201-19;66
CB Second Floor;20/02/201-20;63
CB Second Floor;20/02/201-21;61
CB Second Floor;20/02/201-22;59
CB Second Floor;20/02/201-23;58
CB Second Floor;21/02/201-00;58
CB Second Floor;21/02/201-01;58
CB Second Floor;21/02/201-02;60
CB Second Floor;21/02/201-03;59
CB Second Floor;21/02/201-04;60
CB Second Floor;21/02/201-05;62
CB Second Floor;21/02/201-06;71
CB Second Floor;21/02/201-07;79
CB Second Floor;21/02/201-08;97
CB Second Floor;21/02/201-09;99
CB Second Floor;21/02/201-10;101
CB Second Floor;21/02/201-11;109
CB Second Floor;21/02/201-12;118
CB Second Floor;21/02/201-13;116
CB Second Floor;21/02/201-14;106
CB Second Floor;21/02/201-15;94
CB Second Floor;21/02/201-16;90
CB Second Floor;21/02/201-17;90
CB Second Floor;21/02/201-18;81
CB Second Floor;21/02/201-19;73
CB Second Floor;21/02/201-20;67
CB Second Floor;21/02/201-21;65
CB Second Floor;21/02/201-22;63
CB Second Floor;21/02/201-23;61
CB Second Floor;22/02/201-00;62
CB Second Floor;22/02/201-01;61
CB Second Floor;22/02/201-02;62
CB Second Floor;22/02/201-03;62
CB Second Floor;22/02/201-04;63
CB Second Floor;22/02/201-05;64
CB Second Floor;22/02/201-06;73
CB Second Floor;22/02/201-07;82
CB Second Floor;22/02/201-08;93
CB Second Floor;22/02/201-09;94
CB Second Floor;22/02/201-10;98
CB Second Floor;22/02/201-11;102
CB Second Floor;22/02/201-12;101
CB Second Floor;22/02/201-13;109
CB Second Floor;22/02/201-14;106
CB Second Floor;22/02/201-15;95
CB Second Floor;22/02/201-16;92
CB Second Floor;22/02/201-17;89
CB Second Floor;22/02/201-18;81
CB Second Floor;22/02/201-19;71
CB Second Floor;22/02/201-20;66
CB Second Floor;22/02/201-21;66
CB Second Floor;22/02/201-22;65
CB Second Floor;22/02/201-23;64
CB Second Floor;23/02/201-00;63
CB Second Floor;23/02/201-01;64
CB Second Floor;23/02/201-02;64
CB Second Floor;23/02/201-03;64
CB Second Floor;23/02/201-04;65
CB Second Floor;23/02/201-05;63
CB Second Floor;23/02/201-06;62
CB Second Floor;23/02/201-07;64
CB Second Floor;23/02/201-08;66
CB Second Floor;23/02/201-09;68
CB Second Floor;23/02/201-10;68
CB Second Floor;23/02/201-11;68
